threshold,macro_f0.5,macro_precision,macro_recall,singleton_f0.5,single_match_f0.5,multi_match_f0.5,S2_f0.5,S3_f0.5,average_predictions_per_S1,percentage_abstaining,false_positive_singleton_rate
0.4725,0.5041,0.5766,0.4419,0.5181,0.3167,0.5142,0.5145,0.5081,2.4268,18.35,0.4819
0.475,0.5041,0.5767,0.4419,0.5181,0.3167,0.5142,0.5145,0.5081,2.4261,18.36,0.4819
0.4775,0.5042,0.5768,0.4418,0.5199,0.3167,0.5142,0.5144,0.5081,2.4248,18.38,0.4801
0.48,0.5041,0.5768,0.4418,0.5199,0.3167,0.5142,0.5144,0.5081,2.4245,18.38,0.4801
0.4825,0.5041,0.5768,0.4416,0.5199,0.3167,0.5141,0.5143,0.508,2.4237,18.38,0.4801
0.485,0.5041,0.5768,0.4416,0.5199,0.3167,0.5141,0.5143,0.508,2.4232,18.39,0.4801
0.4875,0.5041,0.5768,0.4415,0.5199,0.3167,0.5141,0.5143,0.508,2.4226,18.39,0.4801
0.49,0.504,0.5768,0.4414,0.5199,0.3167,0.514,0.5143,0.508,2.4219,18.39,0.4801
0.4925,0.504,0.5768,0.4413,0.5199,0.3168,0.514,0.5142,0.5079,2.4212,18.39,0.4801
0.495,0.5041,0.577,0.4414,0.5217,0.3168,0.514,0.5143,0.508,2.4203,18.4,0.4783
0.4975,0.5041,0.577,0.4413,0.5217,0.3168,0.514,0.5142,0.5079,2.4196,18.4,0.4783
0.5,0.504,0.5769,0.4412,0.5217,0.3168,0.5139,0.5141,0.5078,2.4188,18.42,0.4783
0.5025,0.504,0.577,0.4411,0.5217,0.3168,0.5139,0.5142,0.5078,2.4185,18.42,0.4783
0.505,0.504,0.577,0.4411,0.5217,0.3168,0.5139,0.5142,0.5079,2.418,18.42,0.4783
0.5075,0.504,0.577,0.4411,0.5217,0.3168,0.5139,0.5142,0.5079,2.4179,18.42,0.4783
0.51,0.504,0.577,0.441,0.5217,0.3168,0.5139,0.5142,0.5079,2.4173,18.42,0.4783
0.5125,0.504,0.5771,0.4409,0.5217,0.3168,0.5139,0.5142,0.5079,2.4167,18.43,0.4783
0.515,0.5041,0.5772,0.4409,0.5217,0.3177,0.514,0.5143,0.508,2.4158,18.44,0.4783
